2015,-0.04331365311169066
2016,-0.04046760638826527
2017,-0.037621290084207434
2018,-0.03476970758871176
2019,-0.03190784725942649
2020,-0.02903068236191757
2021,-0.0261331711395178
2022,-0.02321025672950782
2023,-0.02025686725624837
2024,-0.017267915728734807
2025,-0.01423830014304258
2026,-0.01116290340316482
2027,-0.008036593372235074
2028,-0.0048542228306178
2029,-0.0016106295224744827
2030,0.0016993638908024877
2031,0.005080949811963365
2032,0.008539335675304755
2033,0.012079744002548978
2034,0.01570741237490438
2035,0.0194275934190955
2036,0.023245554844615983
2037,0.027166579406475648
2038,0.03119596492382698
2039,0.03533902429393493
2040,0.03960108543629758
2041,0.0439874913811218
2042,0.04850360017619096
2043,0.05315478494740091
2044,0.05794643390341662
2045,0.06288395028444939
2046,0.06797275239485316
2047,0.07321827360778116
2048,0.07862596237915569
2049,0.08420128218713217
2050,0.08994971158797853
2051,0.09587674421141856
2052,0.10198788873269223
2053,0.10828866888652555
2054,0.11478462348110043
2055,0.12148130638408475
2056,0.12838428650866263
2057,0.13549914784147404
2058,0.14283148945192806
2059,0.1503869254363235
2060,0.1581710849504452
2061,0.16618961224681697
2062,0.1744481666048523
2063,0.18295242238673382
2064,0.19170806901413018
2065,0.20072081094491295
2066,0.20999636774300598
2067,0.21954047399456614
2068,0.22935887935454957
2069,0.2394573485420551
2070,0.24984166136360728
2071,0.2605176126433071
2072,0.2714910123066511
2073,0.2827676853106823
2074,0.2943534716626164
2075,0.3062542264896911
2076,0.3184758199274074
2077,0.33102413718472234
2078,0.3439050785487052
2079,0.3571245593333151
2080,0.3706885099585634
2081,0.384602875871351
2082,0.3988736176013481
2083,0.4135067107190844
2084,0.4285081458592322
2085,0.44388392874854615
2086,0.4596400801220443
2087,0.47578263584407976
2088,0.4923176467732992
2089,0.5092511788650882
2090,0.5265893131296616
2091,0.5443381456413772
2092,0.5625037875387352
2093,0.5810923650010955
2094,0.6001100193045568
2095,0.6195629067427945
2096,0.6394571987015661
2097,0.6597990816354286
2098,0.6805947570258286
2099,0.7018504414509517
2100,0.7235723665298428
